timestamp,ip,location,confidence,image_path
2025-11-24 00:14:49,local,Unknown,0.623,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.657,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.694,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.682,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.697,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.697,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:49,local,Unknown,0.702,static/falls\FALL_2025-11-24_00-14-49.jpg
2025-11-24 00:14:50,local,Unknown,0.702,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:50,local,Unknown,0.708,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:50,local,Unknown,0.708,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:50,local,Unknown,0.692,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:50,local,Unknown,0.693,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:50,local,Unknown,0.693,static/falls\FALL_2025-11-24_00-14-50.jpg
2025-11-24 00:14:53,local,Unknown,0.650,static/falls\FALL_2025-11-24_00-14-53.jpg
2025-11-24 00:14:53,local,Unknown,0.615,static/falls\FALL_2025-11-24_00-14-53.jpg
2025-11-24 00:14:53,local,Unknown,0.615,static/falls\FALL_2025-11-24_00-14-53.jpg
2025-11-24 00:14:53,local,Unknown,0.716,static/falls\FALL_2025-11-24_00-14-53.jpg
2025-11-24 00:14:54,local,Unknown,0.697,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.684,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.684,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.683,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.702,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.702,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.650,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.670,static/falls\FALL_2025-11-24_00-14-54.jpg
2025-11-24 00:14:54,local,Unknown,0.670,static/falls\FALL_2025-11-24_00-14-54.jpg
