                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97395,                0.86192,                 1.3679,                0.86384,                0.81155,                0.88476,                0.53503,                 1.3782,                0.76795,                 1.6994,               0.006535,               0.006535,               0.006535
                     37,                0.95923,                0.84465,                 1.3545,                0.84091,                0.84761,                0.89069,                0.55429,                  1.299,                0.73763,                 1.6465,               0.006436,               0.006436,               0.006436
                     38,                0.95837,                0.83898,                 1.3462,                0.80846,                 0.8376,                0.86924,                  0.534,                 1.3577,                0.76821,                 1.7016,               0.006337,               0.006337,               0.006337
                     39,                0.95046,                0.82699,                 1.3481,                0.85071,                0.84302,                0.88274,                0.54099,                 1.3287,                0.74105,                 1.6692,               0.006238,               0.006238,               0.006238
                     40,                0.93872,                 0.8128,                 1.3364,                0.81368,                0.85428,                0.88298,                0.55743,                 1.3315,                0.74274,                 1.6713,               0.006139,               0.006139,               0.006139
                     41,                0.93707,                0.80993,                 1.3344,                0.84362,                0.83092,                0.87425,                0.54412,                 1.3339,                0.75274,                 1.6796,                0.00604,                0.00604,                0.00604
                     42,                0.92742,                0.79542,                  1.325,                0.85798,                 0.8287,                0.88657,                0.54462,                 1.3544,                0.74722,                 1.6918,               0.005941,               0.005941,               0.005941
                     43,                0.91532,                0.78849,                 1.3207,                0.86359,                0.82314,                 0.8913,                0.55014,                 1.3478,                0.74675,                 1.6841,               0.005842,               0.005842,               0.005842
                     44,                0.91828,                0.77843,                  1.319,                0.85025,                0.83366,                0.89528,                 0.5522,                 1.3356,                 0.7406,                  1.672,               0.005743,               0.005743,               0.005743
                     45,                0.90173,                0.76765,                 1.3068,                0.85292,                0.82565,                0.87967,                0.55234,                 1.3253,                0.73868,                 1.6904,               0.005644,               0.005644,               0.005644
                     46,                0.90313,                0.76503,                 1.3071,                0.87652,                0.82118,                0.88716,                0.55394,                 1.3313,                0.72349,                 1.6771,               0.005545,               0.005545,               0.005545
                     47,                0.89533,                0.75806,                 1.3011,                0.85366,                0.83703,                0.88774,                0.55671,                 1.3428,                0.73179,                 1.6854,               0.005446,               0.005446,               0.005446
                     48,                0.88634,                0.75418,                 1.2979,                0.87925,                0.81758,                0.89521,                0.55008,                 1.3609,                0.71972,                 1.7212,               0.005347,               0.005347,               0.005347
                     49,                0.87528,                0.74071,                 1.2876,                 0.8681,                0.80979,                0.88893,                0.55783,                 1.3213,                0.72768,                 1.6728,               0.005248,               0.005248,               0.005248
                     50,                0.87467,                0.73818,                 1.2867,                0.86686,                0.82564,                0.90096,                0.57476,                 1.3076,                0.70252,                 1.6667,               0.005149,               0.005149,               0.005149
                     51,                0.86726,                0.73774,                 1.2817,                 0.8377,                0.83204,                0.88644,                0.56611,                 1.2982,                0.73937,                 1.6605,                0.00505,                0.00505,                0.00505
                     52,                0.85741,                0.71654,                 1.2722,                0.86061,                 0.8198,                0.89303,                0.56989,                 1.2969,                 0.7278,                 1.6567,               0.004951,               0.004951,               0.004951
                     53,                0.86177,                0.72033,                 1.2747,                 0.8224,                 0.8465,                0.88695,                0.57129,                 1.2954,                0.72113,                 1.6578,               0.004852,               0.004852,               0.004852
                     54,                0.85785,                0.70982,                  1.274,                0.85682,                0.83206,                0.88931,                0.56645,                 1.3152,                0.70949,                 1.6733,               0.004753,               0.004753,               0.004753
                     55,                0.84381,                0.69173,                 1.2583,                0.83727,                0.84316,                 0.8947,                0.56687,                 1.3295,                0.70383,                 1.6857,               0.004654,               0.004654,               0.004654
                     56,                 0.8291,                0.69386,                 1.2554,                0.83871,                0.84205,                0.89333,                0.57884,                  1.294,                0.72204,                 1.6595,               0.004555,               0.004555,               0.004555
                     57,                0.82725,                0.69745,                 1.2544,                0.85287,                0.83537,                0.89832,                0.57947,                 1.2769,                0.71363,                 1.6437,               0.004456,               0.004456,               0.004456
                     58,                0.81948,                0.67974,                  1.249,                0.82992,                0.85539,                0.89434,                0.57491,                 1.3064,                0.70763,                  1.668,               0.004357,               0.004357,               0.004357
                     59,                0.80576,                0.67492,                 1.2383,                0.83169,                0.85196,                0.88907,                0.57353,                 1.3041,                0.69856,                 1.6914,               0.004258,               0.004258,               0.004258
                     60,                0.80692,                0.67829,                 1.2393,                0.86293,                0.80868,                0.88614,                0.56962,                 1.2986,                 0.7196,                 1.6918,               0.004159,               0.004159,               0.004159
                     61,                0.80532,                0.66306,                 1.2342,                0.86727,                0.80677,                0.88812,                0.57309,                 1.2747,                0.71217,                 1.6628,                0.00406,                0.00406,                0.00406
                     62,                0.79863,                0.65122,                 1.2296,                0.84847,                0.84085,                0.88282,                0.57234,                 1.2694,                0.72138,                 1.6546,               0.003961,               0.003961,               0.003961
                     63,                0.79534,                0.65898,                 1.2329,                0.83624,                0.84637,                0.87771,                0.57451,                 1.2599,                0.72202,                 1.6569,               0.003862,               0.003862,               0.003862
                     64,                0.78485,                0.63781,                 1.2228,                0.85509,                0.81758,                0.87697,                0.57916,                   1.26,                0.72011,                 1.6481,               0.003763,               0.003763,               0.003763
                     65,                0.77784,                0.63462,                 1.2177,                0.85975,                 0.8287,                 0.8776,                0.57944,                 1.2736,                0.71174,                 1.6596,               0.003664,               0.003664,               0.003664
                     66,                0.77791,                0.63276,                 1.2176,                0.87634,                 0.8198,                0.87887,                0.57003,                 1.2929,                0.71823,                 1.6761,               0.003565,               0.003565,               0.003565
                     67,                0.77082,                0.63088,                 1.2138,                  0.864,                0.83092,                0.88479,                0.57186,                 1.2959,                0.72243,                 1.6878,               0.003466,               0.003466,               0.003466
                     68,                0.76164,                0.62147,                 1.2037,                 0.8597,                0.82473,                0.88812,                0.57409,                 1.2996,                0.72055,                 1.6903,               0.003367,               0.003367,               0.003367
                     69,                0.75743,                0.61616,                 1.2057,                0.85233,                0.84316,                 0.8902,                0.57578,                 1.2929,                0.72239,                 1.6862,               0.003268,               0.003268,               0.003268
                     70,                0.75112,                0.61094,                 1.1959,                 0.8465,                0.84205,                0.88442,                0.57099,                 1.2839,                 0.7207,                 1.6755,               0.003169,               0.003169,               0.003169
                     71,                0.74471,                0.60343,                 1.1929,                0.84299,                 0.8421,                0.88405,                 0.5733,                 1.2861,                0.72551,                 1.6806,                0.00307,                0.00307,                0.00307
                     72,                0.73941,                0.59698,                  1.192,                0.84158,                0.85092,                0.88159,                0.56993,                 1.2951,                0.72852,                 1.6944,               0.002971,               0.002971,               0.002971
                     73,                0.73259,                0.58778,                 1.1862,                0.85029,                0.83982,                0.88092,                0.57163,                 1.3011,                0.73397,                 1.7032,               0.002872,               0.002872,               0.002872
                     74,                0.73158,                0.58921,                 1.1849,                0.85369,                0.83723,                 0.8804,                0.57357,                 1.3044,                 0.7189,                 1.7104,               0.002773,               0.002773,               0.002773
                     75,                0.71827,                0.58113,                 1.1785,                0.83649,                0.85095,                0.87686,                0.57219,                  1.301,                0.72735,                 1.7098,               0.002674,               0.002674,               0.002674
                     76,                0.71674,                0.58114,                 1.1767,                0.85803,                0.83204,                0.87912,                0.57952,                 1.2946,                0.72497,                 1.7068,               0.002575,               0.002575,               0.002575
                     77,                0.70594,                0.57081,                 1.1679,                0.85631,                 0.8287,                0.87787,                0.57611,                 1.2879,                 0.7328,                  1.702,               0.002476,               0.002476,               0.002476
                     78,                  0.705,                0.56564,                 1.1713,                0.85374,                0.83092,                0.87782,                0.57593,                 1.2999,                0.72924,                 1.7158,               0.002377,               0.002377,               0.002377
                     79,                0.69624,                0.56098,                 1.1604,                0.85407,                0.83648,                  0.877,                0.57309,                    1.3,                0.73477,                 1.7256,               0.002278,               0.002278,               0.002278
                     80,                0.70145,                0.56351,                 1.1635,                0.85991,                0.82759,                0.87168,                0.57279,                 1.2929,                0.73691,                 1.7231,               0.002179,               0.002179,               0.002179
                     81,                0.68665,                 0.5489,                 1.1569,                0.84208,                0.83092,                0.87498,                 0.5761,                  1.285,                0.74231,                 1.7191,                0.00208,                0.00208,                0.00208
                     82,                0.68562,                0.54753,                 1.1536,                0.86807,                0.80645,                0.87432,                0.57285,                 1.2924,                0.74077,                 1.7253,               0.001981,               0.001981,               0.001981
                     83,                0.68316,                0.54688,                 1.1552,                0.87194,                0.80285,                0.87345,                0.57189,                 1.2863,                0.74036,                 1.7221,               0.001882,               0.001882,               0.001882
                     84,                0.67629,                0.54033,                 1.1511,                 0.8679,                0.80311,                0.86825,                0.56877,                 1.2885,                0.74269,                 1.7278,               0.001783,               0.001783,               0.001783
                     85,                0.67318,                 0.5402,                 1.1474,                 0.8585,                0.81201,                0.86776,                0.56901,                   1.29,                0.73969,                 1.7318,               0.001684,               0.001684,               0.001684
                     86,                0.66855,                0.53336,                  1.145,                0.84778,                0.81646,                0.86505,                0.56725,                 1.2891,                0.74286,                 1.7331,               0.001585,               0.001585,               0.001585
                     87,                 0.6598,                 0.5275,                 1.1402,                0.85419,                0.81758,                0.86374,                0.56818,                 1.2839,                0.74491,                 1.7281,               0.001486,               0.001486,               0.001486
                     88,                0.65613,                0.52511,                 1.1351,                0.85679,                0.80756,                0.86256,                0.56772,                 1.2842,                0.74705,                 1.7299,               0.001387,               0.001387,               0.001387
                     89,                0.65349,                0.51902,                 1.1364,                0.86529,                0.79867,                 0.8634,                0.56814,                 1.2845,                0.74635,                 1.7311,               0.001288,               0.001288,               0.001288
                     90,                0.64682,                0.51662,                 1.1297,                 0.8724,                0.79094,                0.86224,                0.56854,                 1.2821,                 0.7461,                 1.7275,               0.001189,               0.001189,               0.001189
                     91,                0.51615,                 0.2874,                 1.0704,                0.87124,                0.79199,                0.86485,                0.57087,                   1.28,                0.74133,                 1.7267,                0.00109,                0.00109,                0.00109
                     92,                0.49726,                0.27006,                 1.0568,                0.86479,                0.79978,                0.86608,                 0.5726,                   1.28,                0.74154,                 1.7282,               0.000991,               0.000991,               0.000991
                     93,                0.48255,                 0.2626,                 1.0443,                0.87311,                0.78838,                0.86543,                0.57444,                 1.2818,                0.74474,                 1.7314,               0.000892,               0.000892,               0.000892
                     94,                0.47504,                0.25783,                 1.0369,                0.87564,                0.78865,                0.86761,                0.57548,                 1.2798,                0.74646,                 1.7299,               0.000793,               0.000793,               0.000793
                     95,                0.46272,                0.25116,                 1.0283,                0.84135,                0.81998,                0.86934,                0.57817,                 1.2755,                0.74692,                 1.7287,               0.000694,               0.000694,               0.000694
                     96,                0.45553,                0.24983,                 1.0253,                0.84403,                0.82536,                0.86924,                0.57928,                 1.2736,                0.75097,                 1.7304,               0.000595,               0.000595,               0.000595
                     97,                0.45156,                0.24517,                 1.0208,                0.84618,                0.82425,                0.86952,                 0.5807,                 1.2729,                0.75602,                 1.7338,               0.000496,               0.000496,               0.000496
                     98,                0.44718,                0.24248,                 1.0191,                0.84851,                0.82091,                 0.8705,                0.57992,                 1.2718,                0.76147,                 1.7341,               0.000397,               0.000397,               0.000397
                     99,                0.43554,                0.23721,                 1.0077,                 0.8505,                0.82425,                 0.8705,                0.58141,                 1.2721,                0.76577,                 1.7374,               0.000298,               0.000298,               0.000298
                    100,                0.42683,                 0.2312,                0.99959,                0.84994,                0.82533,                 0.8703,                0.58053,                 1.2721,                0.76703,                 1.7399,               0.000199,               0.000199,               0.000199
